Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
384,5sz5,refined,Protein-Ligand,1.27,Ki=20nM,7.7,2016,human Carbonic anhydrase IX-mimic,72E,27860128,0,E.C.4.2.1.1,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
385,5sz6,refined,Protein-Ligand,1.15,Ki=99nM,7,2016,human Carbonic anhydrase IX-mimic,72G,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
386,5sz7,refined,Protein-Ligand,1.78,Ki=0.2nM,9.7,2016,human Carbonic anhydrase IX-mimic,72H,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
387,5tfx,refined,Protein-Ligand,1.5,Ki=60.9nM,7.22,2017,Carbonic anhydrase 2,7B1,27892589,0,E.C.-.-.-.-,(2016) Org. Biomol. Chem. Vol. 14: pp. 11353-11356,P00918
388,5th4,refined,Protein-Ligand,1.47,Ki=1420uM,2.85,2017,Carbonic anhydrase 2,BEW,28389830,0,E.C.-.-.-.-,(2017) J. Biol. Inorg. Chem. Vol. 22: pp. 605-613,P00918
389,5thi,general,Protein-Ligand,1.5,Ki=245uM,3.61,2017,Carbonic anhydrase 2,0TR,28389830,0,E.C.-.-.-.-,(2017) J. Biol. Inorg. Chem. Vol. 22: pp. 605-613,P00918
390,5thj,general,Protein-Ligand,1.5,Ki=1350uM,2.87,2017,Carbonic anhydrase 2,0TR,28389830,0,E.C.-.-.-.-,(2017) J. Biol. Inorg. Chem. Vol. 22: pp. 605-613,P00918
391,5thn,general,Protein-Ligand,1.33,Ki=96uM,4.02,2017,Carbonic anhydrase 2,7CZ,28389830,0,E.C.-.-.-.-,(2017) J. Biol. Inorg. Chem. Vol. 22: pp. 605-613,P00918
392,5ti0,refined,Protein-Ligand,1.42,Ki=61uM,4.21,2017,Carbonic anhydrase 2,7CZ,28389830,0,E.C.-.-.-.-,(2017) J. Biol. Inorg. Chem. Vol. 22: pp. 605-613,P00918
393,5tt3,refined,Protein-Ligand,2.2,Ki=193nM,6.71,2017,Alpha-carbonic anhydrase,EZL,28002963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 11098-11109,A0A0M3KL20
394,5tt8,general,Protein-Ligand,2.4,Ki=315nM,6.5,2017,Alpha-carbonic anhydrase,D8W,28002963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 11098-11109,A0A0M3KL20
395,5tuo,refined,Protein-Ligand,2.5,Ki=323nM,6.49,2017,Alpha-carbonic anhydrase,1SA,28002963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 11098-11109,A0A0M3KL20
396,5tv3,general,Protein-Ligand,2.9,Ki=8.2nM,8.09,2017,Alpha-carbonic anhydrase,7L3,28002963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 11098-11109,A0A0M3KL20
397,5txy,refined,Protein-Ligand,1.21,Kd=3.5uM,5.46,2017,Carbonic anhydrase 2,7Q1,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
398,5ty1,general,Protein-Ligand,1.6,Kd=6.1uM,5.21,2017,Carbonic anhydrase 2,7QV,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
399,5ty8,general,Protein-Ligand,1.45,Kd=3.5uM,5.46,2017,Carbonic anhydrase 2,7Q1,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
400,5ty9,refined,Protein-Ligand,1.53,Kd=6.1uM,5.21,2017,Carbonic anhydrase 2,7QV,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
401,5tya,refined,Protein-Ligand,1.5,Kd=32.9uM,4.48,2017,Carbonic anhydrase 2,7QS,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
402,5u0d,refined,Protein-Ligand,1.59,Kd=28.6uM,4.54,2017,Carbonic anhydrase 2,7R7,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
403,5u0e,refined,Protein-Ligand,1.27,Kd=7.7uM,5.11,2017,Carbonic anhydrase 2,7R4,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
404,5u0f,refined,Protein-Ligand,1.21,Kd=3.4uM,5.47,2017,Carbonic anhydrase 2,7R1,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
405,5u0g,refined,Protein-Ligand,1.54,Kd=26.2uM,4.58,2017,Carbonic anhydrase 2,7QY,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
406,5uln,refined,Protein-Ligand,1.35,Ki=14.2nM,7.85,2017,Carbonic anhydrase 2,8JS,28947945,0,E.C.-.-.-.-,(2017) ACS Med Chem Lett Vol. 8: pp. 963-968,P00918
407,5vgy,refined,Protein-Ligand,1.39,Kd=65.5uM,4.18,2017,Carbonic anhydrase 2,9AA,28817930,0,E.C.-.-.-.-,(2017) J. Med. Chem. Vol. 60: pp. 7333-7349,P00918
408,5wex,refined,Protein-Ligand,1.26,Ki=66.3nM,7.18,2017,Carbonic anhydrase 2,8JS,28947945,0,E.C.-.-.-.-,(2017) ACS Med Chem Lett Vol. 8: pp. 963-968,P00918
409,5wg7,general,Protein-Ligand,1.45,Ki=20000nM,4.7,2018,Carbonic anhydrase 2,AUD,29266943,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 1176-1181,P00918
410,5wlt,general,Protein-Ligand,1.57,Ki=155.5nM,6.81,2018,Carbonic anhydrase 2	,86B,29851481,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 5380-5394,P00918
411,5wlv,general,Protein-Ligand,1.4,Ki=3.0nM,8.52,2018,Carbonic anhydrase 2	,42G,29851481,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 5380-5394,P00918
412,6b4d,refined,Protein-Ligand,1.2,Ki=0.78uM,6.11,2018,Carbonic anhydrase 2,53X,28947941,0,E.C.-.-.-.-,(2017) ACS Med Chem Lett Vol. 8: pp. 941-946,P00918
413,6b59,refined,Protein-Ligand,1.64,Ki=8.2nM,8.09,2018,Carbonic anhydrase II,CQS,29259754,0,E.C.-.-.-.-,(2017) ACS Med Chem Lett Vol. 8: pp. 1314-1319,P00918
414,6b5a,general,Protein-Ligand,1.62,Kd=11.4nM,7.94,2018,Carbonic anhydrase IX-mimic,CQS,29259754,0,E.C.-.-.-.-,(2017) ACS Med Chem Lett Vol. 8: pp. 1314-1319,P00918
415,6bbs,general,Protein-Ligand,2,Ki=0.13nM,9.89,2018,human carbonic anhydrase II,BZ1,29429876,0,E.C.-.-.-.-,(2018) Structure Vol. 26: pp. 383-390.e3,P00918
416,6bc9,general,Protein-Ligand,1.8,Ki=0.37nM,9.43,2018,human carbonic anhydrase II,ETS,29429876,0,E.C.-.-.-.-,(2018) Structure Vol. 26: pp. 383-390.e3,P00918
417,6c7w,refined,Protein-Ligand,1.28,Ki=3410nM,5.47,2018,Carbonic anhydrase 2,LMS,29685656,0,E.C.4.2.1.1,(2018) Bioorg. Med. Chem. Lett. Vol. 28: pp. 3009-3013,P00918
418,6c7x,refined,Protein-Ligand,1.5,Ki=65.2nM,7.19,2018,Carbonic anhydrase 2,EO7,29685656,0,E.C.4.2.1.1,(2018) Bioorg. Med. Chem. Lett. Vol. 28: pp. 3009-3013,P00918
419,6ceh,general,Protein-Ligand,1.43,Ki=36.5nM,7.44,2018,Carbonic anhydrase 2,EZ1,29795760,0,E.C.4.2.1.1,(2018) ACS Med Chem Lett Vol. 9: pp. 462-467,P00918
420,6cjv,refined,Protein-Ligand,1.55,Ki=2200nM,5.66,2018,Carbonic anhydrase IX-mimic,G2Y,30034596,0,E.C.4.2.1.1,(2018) ACS Med Chem Lett Vol. 9: pp. 657-661,P00918
421,6d1l,general,Protein-Ligand,1.4,Ki=7.6nM,8.12,2018,Carbonic anhydrase 2,FQV,29803994,0,E.C.4.2.1.1,(2018) Eur J Med Chem Vol. 154: pp. 210-219,P00918
422,6d1m,general,Protein-Ligand,1.21,Ki=6.3nM,8.2,2018,Carbonic anhydrase 2,FQY,29803994,0,E.C.4.2.1.1,(2018) Eur J Med Chem Vol. 154: pp. 210-219,P00918
423,6d2o,refined,Protein-Ligand,1.9,Ki=5uM,5.3,2018,Beta Carbonic anhydrase,4MZ,30088334,0,E.C.4.2.1.1,(2018) ChemMedChem Vol. 13: pp. 2024-2029,Q9HVB9
424,6ebe,refined,Protein-Ligand,1.88,Ki=0.20uM,6.7,2018,Carbonic anhydrase 2,J3V,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
425,6ecz,refined,Protein-Ligand,2.21,Ki=0.27uM,6.57,2018,Carbonic anhydrase 2,J4D,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
426,6eda,general,Protein-Ligand,1.88,Ki=0.20uM,6.7,2018,Carbonic anhydrase 2,J3V,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
427,6eea,general,Protein-Ligand,1.63,Ki=0.63uM,6.2,2018,Carbonic anhydrase 2,J3V,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
428,6eeh,general,Protein-Ligand,1.63,Ki=0.29uM,6.54,2018,Carbonic anhydrase 2,J4D,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
429,6eeo,refined,Protein-Ligand,1.72,Ki=0.37uM,6.43,2018,Carbonic anhydrase 2,J6V,30433782,0,E.C.4.2.1.1,(2018) J. Med. Chem. Vol. 61: pp. 10860-10874,P00918
430,6equ,refined,Protein-Ligand,1.65,Ki=419nM,6.38,2017,Carbonic anhydrase 2,BVE,29199489,0,E.C.-.-.-.-,(2018) J Enzyme Inhib Med Chem Vol. 33: pp. 151-157,P00918
431,6evr,refined,Protein-Ligand,1.5,Ki=8.8nM,8.06,2018,Carbonic anhydrase 1,BZW,29635168,0,E.C.4.2.1.1,(2018) Eur J Med Chem Vol. 151: pp. 363-375,P00915
432,6ex1,refined,Protein-Ligand,1.6,Ki=49.4nM,7.31,2018,Carbonic anhydrase 1,N19,29635168,0,E.C.4.2.1.1,(2018) Eur J Med Chem Vol. 151: pp. 363-375,P00915
433,6f3b,refined,Protein-Ligand,1.4,Ki=273.3nM,6.56,2018,Carbonic anhydrase 1,CJK,29962205,0,E.C.-.-.-.-,(2018) J. Med. Chem. Vol. 61: pp. 6328-6338,P00915
434,6faf,refined,Protein-Ligand,1.99,Ki=306.1nM,6.51,2018,Carbonic anhydrase 1,D3B,29962205,0,E.C.-.-.-.-,(2018) J. Med. Chem. Vol. 61: pp. 6328-6338,P00915
435,6fe0,refined,Protein-Ligand,1.91,Kd=330nM,6.48,2018,Carbonic anhydrase 9,V90,29928486,0,E.C.-.-.-.-,(2018) Oncotarget Vol. 9: pp. 26800-26816,Q16790
436,6fe1,refined,Protein-Ligand,1.95,Kd=3.3nM,8.48,2018,Carbonic anhydrase 9,V14,29928486,0,E.C.-.-.-.-,(2018) Oncotarget Vol. 9: pp. 26800-26816,Q16790
437,6g3q,refined,Protein-Ligand,1.01,Ki=57.9nM,7.24,2018,Carbonic anhydrase 2,FO9,30344913,0,E.C.-.-.-.-,(2018) ACS Med Chem Lett Vol. 9: pp. 1035-1038,P00918
438,6g3v,refined,Protein-Ligand,1.69,Ki=922.4nM,6.04,2018,Carbonic anhydrase 1,FO9,30344913,0,E.C.-.-.-.-,(2018) ACS Med Chem Lett Vol. 9: pp. 1035-1038,P00915
439,6g98,refined,Protein-Ligand,2.47,Kd=710nM,6.15,2018,Carbonic anhydrase 9,ER5,29928486,0,E.C.-.-.-.-,(2018) Oncotarget Vol. 9: pp. 26800-26816,Q16790
440,6g9u,refined,Protein-Ligand,1.75,Kd=370nM,6.43,2018,Carbonic anhydrase 9,ETK,29928486,0,E.C.-.-.-.-,(2018) Oncotarget Vol. 9: pp. 26800-26816,Q16790
441,6got,refined,Protein-Ligand,1.56,Ki=0.4nM,9.4,2018,Carbonic anhydrase 2,F6W,30253337,0,E.C.-.-.-.-,(2018) Bioorg. Chem. Vol. 81: pp. 642-648,P00918
442,6h29,refined,Protein-Ligand,1.46,Ki=2.4uM,5.62,2018,Carbonic anhydrase 2,FK8,30140816,0,E.C.-.-.-.-,(2018) Chem. Commun. (Camb.) Vol. 54: pp. 10312-10315,P00918
443,6h2z,refined,Protein-Ligand,1.94,Ki=0.5nM,9.3,2018,human carbonic anhydrase II,FKE,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P00918
444,6h33,refined,Protein-Ligand,1.58,Ki=0.6nM,9.22,2018,human carbonic anhydrase II,FKQ,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P00918
445,6h34,refined,Protein-Ligand,1.55,Ki=0.5nM,9.3,2018,human carbonic anhydrase II,FKK,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P00918
446,6h36,refined,Protein-Ligand,1.85,Ki=0.45nM,9.35,2018,carbonic anhydrase VII,FKE,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P43166
447,6h37,refined,Protein-Ligand,1.9,Ki=2.6nM,8.59,2018,carbonic anhydrase VII,FKQ,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P43166
448,6h38,refined,Protein-Ligand,1.7,Ki=7.8nM,8.11,2018,carbonic anhydrase VII,FKK,30530195,0,E.C.-.-.-.-,(2018) Eur J Med Chem Vol. 163: pp. 443-452,P43166
449,6hwz,general,Protein-Ligand,1.64,Ki=6.7uM,5.17,2018,Carbonic anhydrase 1,GXE,30560259,0,E.C.-.-.-.-,(2018) Chem. Commun. (Camb.) Vol. 55: pp. 648-651,P00915
450,6hx5,general,Protein-Ligand,1.44,Ki=2.2uM,5.66,2018,Carbonic anhydrase 2,GXE,30560259,0,E.C.-.-.-.-,(2018) Chem. Commun. (Camb.) Vol. 55: pp. 648-651,P00918
